2008.11;1,02;
2008.12;1,12;
2009.01;1,05;
2009.02;0,86;
2009.03;0,97;
2009.04;0,84;
2009.05;0,77;
2009.06;0,76;
2009.07;0,79;
2009.08;0,69;
2009.09;0,69;
2009.10;0,69;
2009.11;0,66;
2009.12;0,73;
2010.01;0,66;
2010.02;0,59;
2010.03;0,76;
2010.04;0,67;
2010.05;0,75;
2010.06;0,79;
2010.07;0,86;
2010.08;0,89;
2010.09;0,85;
2010.10;0,81;
2010.11;0,81;
2010.12;0,93;
2011.01;0,86;
2011.02;0,84;
2011.03;0,92;
2011.04;0,84;
2011.05;0,99;
2011.06;0,96;
2011.07;0,97;
2011.08;1,07;
2011.09;0,94;
2011.10;0,88;
2011.11;0,86;
2011.12;0,91;
2012.01;0,89;
2012.02;0,75;
2012.03;0,82;
2012.04;0,71;
2012.05;0,74;
2012.06;0,64;
2012.07;0,68;
2012.08;0,69;
2012.09;0,54;
2012.10;0,61;
2012.11;0,55;
2012.12;0,55;
2013.01;0,6;
2013.02;0,49;
2013.03;0,55;
2013.04;0,61;
2013.05;0,6;
2013.06;0,61;
2013.07;0,72;
2013.08;0,71;
2013.09;0,71;
2013.10;0,81;
2013.11;0,72;
2013.12;0,79;
2014.01;0,85;
2014.02;0,79;
2014.03;0,77;
2014.04;0,82;
2014.05;0,87;
2014.06;0,82;
2014.07;0,95;
2014.08;0,87;
2014.09;0,91;
2014.10;0,95;
2014.11;0,84;
2014.12;0,96;
2015.01;0,94;
2015.02;0,82;
2015.03;1,04;
2015.04;0,95;
2015.05;0,99;
2015.06;1,07;
2015.07;1,18;
2015.08;1,11;
2015.09;1,11;
2015.10;1,11;
2015.11;1,06;
2015.12;1,16;
2016.01;1,06;
2016.02;1;
2016.03;1,16;
2016.04;1,06;
2016.05;1,11;
2016.06;1,16;
2016.07;1,11;
2016.08;1,22;
2016.09;1,11;
2016.10;1,05;
2016.11;1,04;
2016.12;1,12;
2017.01;1,09;
2017.02;0,87;
2017.03;1,05;
2017.04;0,79;
2017.05;0,93;
2017.06;0,81;
